               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.023215,            0.021358,           0.0070485,             0.62298,             0.51938,             0.53699,             0.40817,            0.025082,            0.052474,            0.014065,           0.0042085,           0.0042085,           0.0042085
                 119,            0.023298,            0.021664,           0.0071183,             0.75779,             0.49013,             0.53755,             0.40355,            0.025097,            0.051988,              0.0146,            0.004159,            0.004159,            0.004159
                 120,            0.023246,            0.021734,           0.0069836,             0.60987,             0.53769,             0.53515,             0.40652,            0.024995,            0.051513,            0.014634,           0.0041095,           0.0041095,           0.0041095
                 121,            0.023059,            0.020652,           0.0070298,             0.61335,             0.51747,             0.53176,             0.40307,             0.02507,            0.051762,            0.014396,             0.00406,             0.00406,             0.00406
                 122,            0.022987,            0.021187,           0.0070049,             0.66333,             0.50411,             0.53697,             0.40635,            0.025095,            0.052509,             0.01476,           0.0040105,           0.0040105,           0.0040105
                 123,            0.022912,            0.021106,           0.0070761,             0.67066,             0.48833,             0.53685,             0.40712,            0.025112,            0.052026,            0.014385,            0.003961,            0.003961,            0.003961
                 124,            0.022807,             0.02148,           0.0069273,             0.59155,                0.54,              0.5311,             0.40475,            0.024919,            0.051823,            0.014499,           0.0039115,           0.0039115,           0.0039115
                 125,            0.022914,             0.02107,           0.0068998,             0.65666,             0.50025,             0.54173,             0.41001,            0.024923,            0.051955,            0.014774,            0.003862,            0.003862,            0.003862
                 126,            0.022753,            0.021096,           0.0068817,             0.67466,             0.48847,             0.54843,             0.41444,             0.02482,            0.051497,            0.014486,           0.0038125,           0.0038125,           0.0038125
                 127,            0.022932,            0.020598,           0.0067705,             0.61678,             0.49477,               0.526,             0.40126,            0.024889,            0.052544,            0.014853,            0.003763,            0.003763,            0.003763
                 128,            0.022528,            0.020989,           0.0069461,             0.58452,             0.51075,             0.53944,             0.41174,            0.024898,            0.052642,            0.014228,           0.0037135,           0.0037135,           0.0037135
                 129,            0.022714,            0.021468,           0.0068746,             0.62122,             0.52023,             0.53667,             0.40897,            0.024746,            0.051576,            0.014996,            0.003664,            0.003664,            0.003664
                 130,            0.022828,            0.021301,            0.006945,             0.64764,              0.4967,             0.53605,             0.40679,            0.024839,            0.052531,            0.014546,           0.0036145,           0.0036145,           0.0036145
                 131,            0.022581,            0.021009,           0.0068569,             0.71939,             0.51324,             0.53564,             0.40712,            0.024779,            0.051375,            0.014641,            0.003565,            0.003565,            0.003565
                 132,            0.022661,            0.021189,           0.0070226,             0.64241,             0.51575,             0.54362,             0.41071,            0.024838,            0.051315,             0.01468,           0.0035155,           0.0035155,           0.0035155
                 133,            0.022231,            0.020654,           0.0066646,             0.70382,             0.50012,             0.54484,             0.40815,             0.02481,            0.051541,            0.015113,            0.003466,            0.003466,            0.003466
                 134,            0.022344,            0.020984,           0.0069201,             0.56833,             0.52446,             0.53175,             0.40329,            0.024896,            0.052266,            0.015529,           0.0034165,           0.0034165,           0.0034165
                 135,            0.022254,            0.020884,           0.0067129,             0.59745,             0.51481,             0.53459,              0.4095,            0.024918,            0.052155,            0.014916,            0.003367,            0.003367,            0.003367
                 136,            0.022322,            0.020965,           0.0069384,             0.62634,             0.51334,             0.54066,              0.4122,            0.024881,            0.051928,            0.014709,           0.0033175,           0.0033175,           0.0033175
                 137,            0.022308,            0.020973,           0.0066063,             0.70813,             0.51425,             0.54702,             0.41406,            0.024893,            0.051775,            0.014463,            0.003268,            0.003268,            0.003268
                 138,            0.022042,            0.020785,           0.0066174,             0.72364,             0.50871,             0.54424,             0.41259,            0.024859,            0.052067,            0.014588,           0.0032185,           0.0032185,           0.0032185
                 139,            0.021948,            0.020489,           0.0067031,             0.75783,             0.48729,             0.54592,             0.41259,            0.024827,            0.052703,            0.014316,            0.003169,            0.003169,            0.003169
                 140,            0.022156,            0.021006,            0.006665,             0.57157,             0.54823,             0.54792,             0.41206,            0.024822,            0.052047,            0.014602,           0.0031195,           0.0031195,           0.0031195
